Date;individuals
08.05.2018;88
09.05.2018;7
10.05.2018;159
11.05.2018;12
12.05.2018;182
13.05.2018;166
14.05.2018;352
15.05.2018;0
16.05.2018;0
17.05.2018;0
18.05.2018;0
19.05.2018;0
20.05.2018;0
21.05.2018;0
22.05.2018;32
23.05.2018;82
24.05.2018;34
25.05.2018;358
26.05.2018;809
27.05.2018;102
28.05.2018;1215
29.05.2018;114
30.05.2018;0
31.05.2018;0
01.06.2018;158
02.06.2018;58
03.06.2018;128
04.06.2018;0
05.06.2018;0
06.06.2018;0
07.06.2018;0
08.06.2018;0
09.06.2018;498
10.06.2018;24
11.06.2018;0
12.06.2018;167
13.06.2018;953
14.06.2018;123
15.06.2018;46
16.06.2018;0
17.06.2018;0
18.06.2018;524
19.06.2018;0
20.06.2018;0
21.06.2018;145
22.06.2018;74
23.06.2018;35
24.06.2018;0
25.06.2018;157
26.06.2018;0
27.06.2018;0
28.06.2018;0
29.06.2018;0
30.06.2018;46
01.07.2018;8
02.07.2018;17
03.07.2018;87
04.07.2018;20
05.07.2018;41
06.07.2018;59
07.07.2018;106
08.07.2018;15
09.07.2018;0
10.07.2018;3
11.07.2018;39
12.07.2018;169
13.07.2018;107
14.07.2018;20
15.07.2018;57
16.07.2018;454
17.07.2018;11
18.07.2018;0
19.07.2018;10
20.07.2018;86
21.07.2018;0
22.07.2018;0
23.07.2018;81
24.07.2018;89
25.07.2018;0
26.07.2018;186
27.07.2018;59
28.07.2018;0
29.07.2018;6
30.07.2018;8
31.07.2018;44
01.08.2018;93
02.08.2018;90
03.08.2018;123
04.08.2018;25
05.08.2018;0
06.08.2018;0
07.08.2018;19
08.08.2018;0
09.08.2018;7
10.08.2018;163
11.08.2018;64
12.08.2018;63
13.08.2018;63
14.08.2018;0
15.08.2018;24
16.08.2018;13
17.08.2018;0
18.08.2018;4
19.08.2018;13
20.08.2018;29
21.08.2018;0
22.08.2018;105
23.08.2018;34
24.08.2018;0
25.08.2018;150
26.08.2018;0
27.08.2018;133
28.08.2018;0
29.08.2018;0
30.08.2018;105
31.08.2018;151
01.09.2018;76
02.09.2018;10
03.09.2018;38
04.09.2018;24
05.09.2018;18
06.09.2018;38
07.09.2018;0
08.09.2018;10
09.09.2018;0
10.09.2018;0
11.09.2018;0
12.09.2018;1
13.09.2018;201
14.09.2018;122
15.09.2018;88
16.09.2018;28
17.09.2018;39
18.09.2018;5
19.09.2018;34
20.09.2018;67
21.09.2018;0
22.09.2018;83
23.09.2018;0
24.09.2018;0
25.09.2018;0
26.09.2018;0
27.09.2018;0
28.09.2018;0
29.09.2018;0
30.09.2018;0
01.10.2018;42
02.10.2018;16
03.10.2018;8
04.10.2018;0
05.10.2018;11
06.10.2018;103
07.10.2018;58
08.10.2018;5
09.10.2018;0
10.10.2018;121
11.10.2018;0
12.10.2018;26
13.10.2018;171
14.10.2018;80
15.10.2018;29
16.10.2018;12
17.10.2018;0
18.10.2018;71
19.10.2018;54
20.10.2018;14
21.10.2018;14
22.10.2018;14
23.10.2018;0
24.10.2018;0
25.10.2018;0
26.10.2018;0
27.10.2018;6
28.10.2018;75
29.10.2018;0
30.10.2018;0
31.10.2018;0
01.11.2018;0
02.11.2018;133
03.11.2018;0
04.11.2018;0
05.11.2018;0
06.11.2018;0
07.11.2018;36
08.11.2018;84
09.11.2018;185
10.11.2018;57
11.11.2018;0
12.11.2018;0
13.11.2018;0
14.11.2018;0
15.11.2018;0
16.11.2018;22
17.11.2018;0
18.11.2018;4
19.11.2018;0
20.11.2018;0
21.11.2018;0
22.11.2018;14
23.11.2018;151
24.11.2018;286
25.11.2018;0
26.11.2018;0
27.11.2018;0
28.11.2018;0
29.11.2018;0
30.11.2018;0
01.12.2018;0
02.12.2018;0
03.12.2018;0
04.12.2018;26
05.12.2018;0
06.12.2018;0
07.12.2018;18
08.12.2018;72
09.12.2018;0
10.12.2018;0
11.12.2018;0
12.12.2018;0
13.12.2018;0
14.12.2018;0
15.12.2018;0
16.12.2018;0
17.12.2018;0
18.12.2018;0
19.12.2018;0
20.12.2018;61
21.12.2018;18
22.12.2018;0
23.12.2018;0
24.12.2018;1
25.12.2018;0
26.12.2018;0
27.12.2018;43
28.12.2018;39
29.12.2018;49
30.12.2018;29
31.12.2018;0
01.01.2019;0
02.01.2019;0
03.01.2019;0
04.01.2019;0
05.01.2019;0
06.01.2019;0
07.01.2019;0
08.01.2019;0
09.01.2019;0
10.01.2019;53
11.01.2019;0
12.01.2019;0
13.01.2019;0
14.01.2019;0
15.01.2019;0
16.01.2019;0
17.01.2019;0
18.01.2019;73
19.01.2019;16
20.01.2019;13
21.01.2019;0
22.01.2019;0
23.01.2019;0
24.01.2019;0
25.01.2019;0
26.01.2019;0
27.01.2019;0
28.01.2019;0
29.01.2019;0
30.01.2019;0
31.01.2019;47
01.02.2019;0
02.02.2019;0
03.02.2019;0
04.02.2019;0
05.02.2019;0
06.02.2019;0
07.02.2019;0
08.02.2019;0
09.02.2019;0
10.02.2019;0
11.02.2019;13
12.02.2019;0
13.02.2019;0
14.02.2019;0
15.02.2019;0
16.02.2019;0
17.02.2019;12
18.02.2019;0
19.02.2019;0
20.02.2019;0
21.02.2019;22
22.02.2019;13
23.02.2019;0
24.02.2019;0
25.02.2019;0
26.02.2019;0
27.02.2019;0
28.02.2019;0
01.03.2019;0
02.03.2019;0
03.03.2019;0
04.03.2019;9
05.03.2019;17
06.03.2019;8
07.03.2019;40
08.03.2019;0
09.03.2019;0
10.03.2019;0
11.03.2019;0
12.03.2019;0
13.03.2019;0
14.03.2019;0
15.03.2019;0
16.03.2019;0
17.03.2019;13
18.03.2019;0
19.03.2019;50
20.03.2019;0
21.03.2019;0
22.03.2019;0
23.03.2019;0
24.03.2019;27
25.03.2019;81
26.03.2019;0
27.03.2019;0
28.03.2019;0
29.03.2019;0
30.03.2019;11
31.03.2019;6
01.04.2019;0
02.04.2019;0
03.04.2019;0
04.04.2019;8
05.04.2019;0
06.04.2019;0
07.04.2019;0
08.04.2019;18
09.04.2019;0
10.04.2019;0
11.04.2019;73
12.04.2019;0
13.04.2019;0
14.04.2019;0
15.04.2019;0
16.04.2019;0
17.04.2019;11
18.04.2019;12
19.04.2019;0
20.04.2019;0
21.04.2019;1
22.04.2019;18
23.04.2019;0
24.04.2019;0
25.04.2019;0
26.04.2019;0
27.04.2019;0
28.04.2019;57
29.04.2019;0
30.04.2019;57
01.05.2019;0
02.05.2019;59
03.05.2019;0
04.05.2019;0
05.05.2019;0
06.05.2019;0
07.05.2019;0
08.05.2019;31
09.05.2019;0
10.05.2019;136
11.05.2019;0
12.05.2019;68
13.05.2019;0
14.05.2019;0
15.05.2019;0
16.05.2019;0
17.05.2019;0
18.05.2019;0
19.05.2019;47
20.05.2019;0
21.05.2019;30
22.05.2019;68
23.05.2019;7
24.05.2019;68
25.05.2019;54
26.05.2019;0
27.05.2019;0
28.05.2019;0
29.05.2019;71
30.05.2019;0
31.05.2019;0
01.06.2019;7
02.06.2019;191
03.06.2019;112
04.06.2019;7
05.06.2019;0
06.06.2019;0
07.06.2019;147
08.06.2019;8
09.06.2019;95
10.06.2019;16
11.06.2019;0
12.06.2019;0
13.06.2019;0
14.06.2019;0
15.06.2019;10
16.06.2019;6
17.06.2019;24
18.06.2019;3
19.06.2019;65
20.06.2019;16
21.06.2019;121
22.06.2019;1
23.06.2019;0
24.06.2019;59
25.06.2019;8
26.06.2019;55
27.06.2019;63
28.06.2019;41
29.06.2019;40
30.06.2019;93
01.07.2019;5
02.07.2019;0
03.07.2019;6
04.07.2019;63
05.07.2019;37
06.07.2019;108
07.07.2019;56
08.07.2019;25
09.07.2019;74
10.07.2019;12
11.07.2019;0
12.07.2019;0
13.07.2019;0
14.07.2019;21
15.07.2019;0
16.07.2019;0
17.07.2019;0
18.07.2019;5
19.07.2019;108
20.07.2019;8
21.07.2019;55
22.07.2019;59
23.07.2019;3
24.07.2019;77
25.07.2019;75
26.07.2019;13
27.07.2019;4
28.07.2019;9
29.07.2019;55
30.07.2019;0
31.07.2019;210
01.08.2019;0
02.08.2019;36
03.08.2019;20
04.08.2019;13
05.08.2019;63
06.08.2019;41
07.08.2019;0
08.08.2019;0
09.08.2019;8
10.08.2019;65
11.08.2019;48
12.08.2019;97
13.08.2019;0
14.08.2019;4
15.08.2019;9
16.08.2019;4
17.08.2019;87
18.08.2019;0
19.08.2019;66
20.08.2019;143
21.08.2019;84
22.08.2019;58
23.08.2019;24
24.08.2019;32
25.08.2019;52
26.08.2019;36
27.08.2019;11
28.08.2019;0
29.08.2019;143
30.08.2019;68
31.08.2019;46
01.09.2019;115
02.09.2019;315
03.09.2019;53
04.09.2019;0
05.09.2019;0
06.09.2019;59
07.09.2019;0
08.09.2019;45
09.09.2019;66
10.09.2019;0
11.09.2019;58
12.09.2019;1
13.09.2019;0
14.09.2019;279
15.09.2019;104
16.09.2019;0
17.09.2019;82
18.09.2019;224
19.09.2019;40
20.09.2019;180
21.09.2019;76
22.09.2019;0
23.09.2019;12
24.09.2019;182
25.09.2019;0
26.09.2019;52
27.09.2019;2
28.09.2019;110
29.09.2019;282
30.09.2019;162
01.10.2019;34
02.10.2019;140
03.10.2019;73
04.10.2019;0
05.10.2019;1
06.10.2019;23
07.10.2019;22
08.10.2019;0
09.10.2019;0
10.10.2019;0
11.10.2019;13
12.10.2019;28
13.10.2019;159
14.10.2019;312
15.10.2019;1
16.10.2019;377
17.10.2019;53
18.10.2019;129
19.10.2019;117
20.10.2019;57
21.10.2019;118
22.10.2019;67
23.10.2019;0
24.10.2019;48
25.10.2019;0
26.10.2019;9
27.10.2019;14
28.10.2019;17
29.10.2019;45
30.10.2019;118
31.10.2019;41
01.11.2019;0
02.11.2019;4
03.11.2019;239
04.11.2019;0
05.11.2019;50
06.11.2019;0
07.11.2019;0
08.11.2019;0
09.11.2019;0
10.11.2019;0
11.11.2019;0
12.11.2019;0
13.11.2019;0
14.11.2019;0
15.11.2019;0
16.11.2019;0
17.11.2019;0
18.11.2019;0
19.11.2019;0
20.11.2019;0
21.11.2019;121
22.11.2019;123
23.11.2019;154
24.11.2019;224
25.11.2019;0
26.11.2019;141
27.11.2019;0
28.11.2019;11
29.11.2019;53
30.11.2019;103
01.12.2019;9
02.12.2019;56
03.12.2019;13
04.12.2019;122
05.12.2019;0
06.12.2019;0
07.12.2019;0
08.12.2019;0
09.12.2019;0
10.12.2019;0
11.12.2019;0
12.12.2019;0
13.12.2019;0
14.12.2019;0
15.12.2019;0
16.12.2019;0
17.12.2019;0
18.12.2019;124
19.12.2019;4
20.12.2019;0
21.12.2019;0
22.12.2019;55
23.12.2019;159
24.12.2019;0
25.12.2019;0
26.12.2019;0
27.12.2019;0
28.12.2019;0
29.12.2019;32
30.12.2019;0
31.12.2019;7
01.01.2020;1
02.01.2020;66
03.01.2020;79
04.01.2020;0
05.01.2020;33
06.01.2020;0
07.01.2020;0
08.01.2020;0
09.01.2020;30
10.01.2020;105
11.01.2020;0
12.01.2020;0
13.01.2020;0
14.01.2020;9
15.01.2020;174
16.01.2020;153
17.01.2020;70
18.01.2020;0
19.01.2020;0
20.01.2020;0
21.01.2020;39
22.01.2020;0
23.01.2020;0
24.01.2020;0
25.01.2020;8
26.01.2020;94
27.01.2020;0
28.01.2020;0
29.01.2020;403
30.01.2020;0
31.01.2020;76
01.02.2020;15
